,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score,theme_score,is_candidate
VNM,vietnam,2026-09-18,753.0000,17.6300,-0.1096,0.3896,-0.4712,-0.0317,0.0093,-0.0618,-0.1252,-0.1832,-0.0151,0.2326,11605057.1299,0.1231,-0.1007,-0.0732,1.2221,0.0993,True,False,0.6033,0.6033,False
IYT,transport,2026-09-18,753.0000,80.2700,-0.1062,0.1063,-0.6603,-0.0052,-0.0631,-0.0641,-0.0723,-0.0138,-0.0377,0.1608,61776854.3847,0.1188,-0.0696,-0.0014,1.7062,0.1436,True,False,0.6051,0.6051,False
JETS,transport,2026-09-18,753.0000,28.2200,-0.1584,0.1676,-0.5858,-0.0094,-0.0655,-0.1122,-0.0205,-0.0706,-0.0070,0.2703,109367223.7091,0.1882,-0.1171,-0.0149,1.6074,0.0854,True,False,0.6373,0.6051,False
XLP,staples,2026-09-18,753.0000,82.8000,-0.0685,0.0804,-0.4224,-0.0020,-0.0249,-0.0217,-0.1406,-0.1107,-0.0289,0.1622,823040761.1119,0.0735,-0.0702,-0.0305,1.0473,0.1424,True,False,0.6487,0.6487,False
ARGT,argentina,2026-09-18,753.0000,92.4300,-0.0989,0.2956,-0.4688,-0.0000,-0.0165,-0.0672,-0.1091,0.1191,-0.0451,0.2109,12635214.8143,0.1097,-0.0913,-0.0782,1.2013,0.1095,True,False,0.7078,0.7078,False
XLB,materials,2026-09-18,753.0000,49.9900,-0.0686,0.2766,-0.3920,-0.0037,-0.0344,-0.0541,-0.1077,-0.0509,-0.0500,0.1749,582466820.1339,0.0736,-0.0757,0.0000,0.9719,0.1320,True,False,0.7333,0.7333,False
WGMI,crypto-equity,2026-09-18,753.0000,49.5000,-0.3135,0.3692,-0.3389,0.0162,0.0206,-0.3360,0.1025,0.0317,0.0754,0.9250,30573549.0065,0.4566,-0.4005,-0.1661,1.1399,0.0250,True,True,0.8503,0.8503,False
BLOK,crypto-equity,2026-09-18,753.0000,64.8600,-0.1174,0.4264,-0.2955,0.0847,0.0537,-0.0501,0.0728,-0.1713,-0.0069,0.3974,13001270.1928,0.1331,-0.1721,-0.2707,0.7733,0.0581,True,False,0.8956,0.8503,False
XSD,semis,2026-09-18,753.0000,506.6600,-0.2199,0.0967,-0.4106,0.1372,0.0026,-0.2260,0.3671,0.4750,0.0588,0.5356,54069524.7285,0.2819,-0.2319,-0.1130,1.2156,0.0431,True,True,0.8904,0.8904,False
PSI,semis,2026-09-18,753.0000,139.3900,-0.2579,0.0749,-0.3745,0.1428,-0.0122,-0.2404,0.2706,0.8671,0.0747,0.6886,41179118.1210,0.3474,-0.2982,-0.1341,1.1653,0.0335,True,True,0.9031,0.8904,False
SMH,semis,2026-09-18,753.0000,573.0000,-0.1434,0.1771,-0.3278,0.1760,0.0145,-0.1542,0.2875,0.7118,0.0369,0.4374,3616878898.1647,0.1674,-0.1894,-0.1200,0.8838,0.0528,True,True,0.9482,0.8904,False
DRAM,semis,2026-09-18,117.0000,59.6100,-0.2615,0.4490,-0.2967,,0.0735,-0.2455,,,0.0647,0.8814,1620579402.2475,0.3541,-0.3817,-0.2476,0.9279,0.0262,True,True,0.9615,0.8904,False
SOXX,semis,2026-09-18,753.0000,533.0700,-0.1856,0.1785,-0.3536,0.2072,0.0147,-0.1884,0.4053,0.8973,0.0622,0.5250,3706668344.1150,0.2279,-0.2273,-0.1283,1.0027,0.0440,True,True,0.9615,0.8904,False
EWY,korea,2026-09-18,753.0000,181.3100,-0.1729,0.1785,-0.2763,0.1968,0.0456,-0.1954,0.1814,1.1510,0.0042,0.6255,2185332672.6892,0.2090,-0.2708,-0.2046,0.7716,0.0369,True,True,0.9673,0.9673,False
EEM,em,2026-09-18,753.0000,67.0300,-0.0587,0.2371,-0.2363,0.0795,0.0180,-0.0757,0.0059,0.1120,-0.0065,0.2484,1151460733.5519,0.0624,-0.1076,-0.0889,0.5798,0.0930,False,False,,,False
AIQ,ai/robot,2026-09-18,753.0000,64.1300,-0.0857,0.1894,-0.2942,0.1333,0.0314,-0.0625,0.1507,0.1593,-0.0026,0.2912,68274095.2070,0.0937,-0.1261,-0.1271,0.7432,0.0793,False,False,,,False
IWM,bench,2026-09-18,753.0000,284.1000,-0.0664,0.2657,-0.5123,0.0387,-0.0351,-0.0589,-0.0104,0.0301,-0.0351,0.1295,5995854432.7931,0.0711,-0.0561,-0.0006,1.2672,0.1783,False,False,,,False
QQQ,bench,2026-09-18,753.0000,721.4500,-0.0321,0.3883,-0.1582,0.0902,0.0162,-0.0474,0.0560,0.0575,0.0053,0.2026,22381797979.4534,0.0331,-0.0877,-0.0828,0.3774,0.1140,False,True,,,False
PICK,base-metals,2026-09-18,753.0000,61.8000,-0.0959,0.4046,-0.3487,0.0440,-0.0003,-0.0402,-0.0051,0.3166,-0.0519,0.2751,41931921.5951,0.1061,-0.1191,-0.0964,0.8906,0.0840,False,False,,,False
XLK,tech,2026-09-18,753.0000,189.6000,-0.0423,0.4074,-0.1488,0.1687,0.0354,-0.0310,0.2095,0.2332,0.0195,0.2843,1204196626.9165,0.0442,-0.1231,-0.1215,0.3588,0.0812,False,True,,,False
IAI,fin-other,2026-09-18,753.0000,184.8000,-0.0644,0.1771,-0.2980,0.0295,-0.0254,-0.0268,-0.0279,-0.1145,-0.0644,0.2161,16311832.3659,0.0688,-0.0936,-0.0197,0.7356,0.1069,False,False,,,False
KBWB,banks,2026-09-18,753.0000,92.0900,-0.0762,0.1580,-0.4234,0.0475,-0.0465,-0.0234,0.0500,0.0266,-0.0570,0.1801,154520129.4156,0.0825,-0.0780,-0.0013,1.0585,0.1283,False,False,,,False
EFA,dev-exus,2026-09-18,753.0000,104.9700,-0.0353,0.2248,-0.2738,0.0390,-0.0122,-0.0172,-0.0587,-0.0039,-0.0299,0.1289,1065532547.4796,0.0366,-0.0558,0.0000,0.6554,0.1792,False,False,,,False
EWJ,japan,2026-09-18,753.0000,97.0000,-0.0158,0.6253,-0.0790,0.0871,0.0215,-0.0149,-0.0035,0.0753,-0.0092,0.2003,334311834.5390,0.0161,-0.0867,-0.0008,0.1854,0.1153,False,False,,,False
EWT,taiwan,2026-09-18,753.0000,111.6400,-0.0048,0.7943,-0.0137,0.2959,0.0723,-0.0076,0.3841,0.6761,0.0137,0.3513,386337517.4406,0.0048,-0.1521,-0.0445,0.0318,0.0657,False,True,,,False
RSP,bench,2026-09-18,753.0000,212.2900,-0.0470,0.1608,-0.4573,0.0410,-0.0228,-0.0075,-0.0563,-0.0252,-0.0353,0.1029,1300170403.4702,0.0494,-0.0445,-0.0000,1.1082,0.2245,False,False,,,False
KBE,banks,2026-09-18,753.0000,66.6200,-0.0705,0.2807,-0.4489,0.0364,-0.0374,-0.0033,-0.0007,-0.0441,-0.0360,0.1570,87624416.9665,0.0758,-0.0680,0.0000,1.1152,0.1471,False,False,,,False
KRE,banks,2026-09-18,753.0000,72.7500,-0.0665,0.4646,-0.4035,0.0408,-0.0348,-0.0023,0.0013,-0.0150,-0.0283,0.1647,926783724.0306,0.0712,-0.0713,-0.0018,0.9982,0.1402,False,False,,,False
SPY,bench,2026-09-18,753.0000,761.6900,-0.0184,0.3215,-0.1625,0.0691,0.0050,0.0000,0.0000,0.0000,-0.0124,0.1131,31104359828.1467,0.0187,-0.0490,-0.0125,0.3824,0.2042,False,False,,,False
COPX,base-metals,2026-09-18,753.0000,87.2800,-0.0951,0.5218,-0.2258,0.0690,0.0230,0.0020,0.0465,0.5190,-0.0435,0.4211,300499131.1411,0.1051,-0.1824,-0.0354,0.5762,0.0548,False,False,,,False
FXI,china,2026-09-18,753.0000,34.3200,-0.1628,0.0926,-0.9289,-0.0541,-0.0235,0.0081,-0.2080,-0.3314,-0.0289,0.1753,545708283.4782,0.1945,-0.0759,-0.0795,2.5624,0.1318,False,False,,,False
OIH,oil/gas,2026-09-18,753.0000,398.7100,-0.1216,0.5681,-0.4107,0.0396,-0.0090,0.0117,-0.1479,0.4107,-0.0724,0.2962,114325316.9647,0.1385,-0.1282,-0.0981,1.0797,0.0780,False,False,,,False
GLD,gold,2026-09-18,753.0000,401.1700,-0.1910,0.0777,-0.8005,-0.0362,0.0209,0.0137,-0.2226,0.0193,-0.0221,0.2386,4731400825.5913,0.2361,-0.1033,-0.0903,2.2852,0.0968,False,False,,,False
XLF,financials,2026-09-18,753.0000,55.8600,-0.0461,0.2316,-0.3546,0.0451,-0.0231,0.0238,-0.0133,-0.1223,-0.0461,0.1300,1758428398.6020,0.0483,-0.0563,0.0000,0.8586,0.1776,False,False,,,False
IHI,health-other,2026-09-18,753.0000,51.7700,-0.1931,0.0858,-0.7498,-0.0569,-0.0245,0.0341,-0.2170,-0.3092,-0.0382,0.2575,133569334.4403,0.2393,-0.1115,-0.0843,2.1460,0.0897,False,False,,,False
IAK,fin-other,2026-09-18,753.0000,142.7000,-0.0583,0.1499,-0.3030,0.0557,-0.0172,0.0430,-0.0311,-0.0495,-0.0316,0.1925,14825688.8112,0.0619,-0.0833,-0.0018,0.7432,0.1200,False,False,,,False
IHF,health-other,2026-09-18,753.0000,56.1600,-0.0313,0.6580,-0.1879,0.1210,-0.0103,0.0539,0.1492,0.0131,-0.0295,0.1668,34577532.4764,0.0324,-0.0722,-0.0053,0.4479,0.1384,False,False,,,False
MAGS,bench,2026-09-18,753.0000,70.4600,-0.0068,0.7902,-0.0292,0.0770,0.0403,0.0542,0.0198,-0.0555,0.0004,0.2315,213428994.4606,0.0068,-0.1003,-0.1333,0.0680,0.0997,False,True,,,False
ARKW,internet/ark,2026-09-18,753.0000,158.9800,-0.1140,0.3815,-0.3638,0.1224,0.0632,0.0617,0.0858,-0.2028,-0.0089,0.3132,8429648.3398,0.1286,-0.1356,-0.2801,0.9482,0.0737,False,False,,,False
FDN,internet/ark,2026-09-18,753.0000,288.1400,-0.0241,0.5954,-0.1193,0.0869,0.0193,0.0620,0.0288,-0.1579,-0.0180,0.2019,41145110.0140,0.0247,-0.0874,-0.0152,0.2823,0.1144,False,False,,,False
PPH,health-other,2026-09-18,753.0000,111.1700,-0.0568,0.4114,-0.2649,0.0522,-0.0046,0.0679,-0.0583,0.1107,-0.0397,0.2145,24241786.9324,0.0603,-0.0929,-0.0156,0.6487,0.1076,False,False,,,False
ARKK,internet/ark,2026-09-18,753.0000,88.2300,-0.0465,0.7670,-0.1243,0.1411,0.0968,0.0777,0.0780,-0.0775,0.0125,0.3738,391265397.6093,0.0487,-0.1619,-0.2801,0.3011,0.0618,False,True,,,False
AMLP,oil/gas,2026-09-18,753.0000,54.9800,-0.0215,0.5463,-0.1720,0.0889,0.0100,0.0831,-0.0871,0.0754,-0.0079,0.1252,58008496.7598,0.0220,-0.0542,-0.0045,0.4059,0.1845,False,False,,,False
EWZ,brazil,2026-09-18,753.0000,37.5200,-0.0923,0.4782,-0.4212,0.0454,0.0410,0.0898,-0.1257,0.0959,-0.0160,0.2192,941506362.2072,0.1017,-0.0949,-0.1105,1.0716,0.1053,False,False,,,False
XBI,biotech,2026-09-18,753.0000,156.7200,-0.0757,0.4346,-0.2633,0.1440,-0.0054,0.0922,0.1189,0.5078,-0.0466,0.2874,1320150041.4194,0.0819,-0.1244,-0.0172,0.6579,0.0804,False,False,,,False
XLV,health,2026-09-18,753.0000,168.3900,-0.0415,0.4755,-0.2158,0.0851,0.0098,0.1095,-0.0051,0.0776,-0.0281,0.1922,1266048549.8492,0.0433,-0.0832,-0.0180,0.5201,0.1201,False,False,,,False
SIL,silver,2026-09-18,753.0000,95.2000,-0.1923,0.1785,-0.4035,0.0510,0.0867,0.1160,-0.0128,0.3257,-0.0608,0.4766,109711101.7667,0.2381,-0.2064,-0.2499,1.1536,0.0485,False,False,,,False
FCG,oil/gas,2026-09-18,753.0000,30.4400,-0.0649,0.7180,-0.2264,0.0885,0.0190,0.1164,-0.1697,0.1408,-0.0413,0.2867,27223417.5652,0.0694,-0.1242,-0.1409,0.5593,0.0805,False,False,,,False
ARKF,fin-other,2026-09-18,753.0000,45.7500,-0.2215,0.2411,-0.6756,0.0714,0.0541,0.1203,-0.0257,-0.3442,-0.0395,0.3279,5754378.0572,0.2846,-0.1420,-0.2101,2.0043,0.0704,False,False,,,False
GDX,gold,2026-09-18,753.0000,95.4800,-0.1758,0.1757,-0.3739,0.0535,0.0853,0.1346,-0.0117,0.2295,-0.0592,0.4700,2251887883.9024,0.2132,-0.2035,-0.2591,1.0477,0.0491,False,False,,,False
GDXJ,gold,2026-09-18,753.0000,124.4400,-0.2033,0.1417,-0.3904,0.0452,0.0887,0.1381,-0.0215,0.2819,-0.0596,0.5206,543940672.6213,0.2551,-0.2254,-0.2634,1.1317,0.0444,False,False,,,False
IGV,software,2026-09-18,753.0000,104.3500,-0.1139,0.3011,-0.3324,0.1141,0.0434,0.1487,0.0723,-0.2494,-0.0243,0.3427,1091321907.2340,0.1286,-0.1484,-0.2846,0.8664,0.0674,False,False,,,False
IBB,biotech,2026-09-18,753.0000,204.5600,-0.0571,0.3638,-0.2303,0.1426,0.0236,0.1556,0.0806,0.2825,-0.0432,0.2479,316775427.8598,0.0606,-0.1074,-0.0125,0.5641,0.0931,False,False,,,False
CIBR,cyber,2026-09-18,753.0000,99.8700,-0.0228,0.6458,-0.0673,0.2736,0.0498,0.1598,0.3716,0.1633,0.0477,0.3386,165850001.0827,0.0233,-0.1466,-0.0742,0.1591,0.0682,False,True,,,False
XLE,energy,2026-09-18,753.0000,64.3100,-0.0246,0.7997,-0.1165,0.1626,0.0512,0.1821,-0.0651,0.3026,-0.0048,0.2109,1950149722.1307,0.0252,-0.0913,-0.0044,0.2758,0.1095,False,False,,,False
SKYY,software,2026-09-18,753.0000,162.0200,-0.0408,0.5722,-0.1420,0.2359,0.0599,0.2060,0.2624,0.0312,-0.0116,0.2872,35579813.8416,0.0425,-0.1244,-0.0334,0.3419,0.0804,False,False,,,False
HACK,cyber,2026-09-18,753.0000,118.6700,-0.0264,0.6267,-0.0679,0.3057,0.0567,0.2136,0.3504,0.2191,0.0640,0.3892,38744812.8519,0.0271,-0.1685,-0.0892,0.1610,0.0593,False,True,,,False
XOP,oil/gas,2026-09-18,753.0000,190.6100,-0.0455,0.8406,-0.1643,0.1879,0.0564,0.2264,-0.0648,0.2916,-0.0089,0.2770,569395463.6329,0.0477,-0.1200,0.0000,0.3975,0.0834,False,False,,,False
IBIT,crypto-spot,2026-09-18,674.0000,46.0200,-0.3545,0.2351,-0.9411,0.0929,0.1588,0.2694,-0.0077,-0.4704,-0.0071,0.3766,2592361238.1676,0.5491,-0.1631,-0.2766,3.3670,0.0613,False,False,,,False
BUG,cyber,2026-09-18,753.0000,44.3400,-0.0216,0.7943,-0.0454,0.3558,0.0801,0.2858,0.5244,0.1250,0.0641,0.4768,65109377.3587,0.0221,-0.2064,0.0000,0.1071,0.0484,False,True,,,False
USO,oil/gas,2026-09-18,753.0000,153.8200,-0.0497,0.8515,-0.0966,0.3822,0.1607,0.3165,0.1472,0.8805,0.0826,0.5140,756800039.8141,0.0523,-0.2226,0.0000,0.2349,0.0449,False,True,,,False
WCLD,software,2026-09-18,753.0000,40.2400,-0.0674,0.7398,-0.1641,0.2426,0.0504,0.3392,0.2510,-0.0544,-0.0412,0.4109,28351485.9589,0.0723,-0.1779,-0.0363,0.4065,0.0562,False,False,,,False
ARKG,biotech,2026-09-18,753.0000,51.6400,0.0000,1.0000,0.0000,0.5084,0.1751,0.3784,0.7706,0.7945,0.0941,0.4410,221074150.7667,0.0000,-0.1910,0.0000,0.0000,0.0524,False,True,,,False
ETHA,crypto-spot,2026-09-18,542.0000,19.9200,-0.4434,0.4015,-0.8988,0.1618,0.2375,0.5240,0.0692,-0.5884,0.0473,0.4934,916967422.9042,0.7967,-0.2136,-0.4106,3.7293,0.0468,False,True,,,False
