,wtd_rank,cause,necessity,catalyst,basket,price,wtd,veto,dip_score,dip_rank,stabilizing,theme,dd_52w,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,thin,theme_rank,bucket
XLU,1,9,10,8,9,6,8.55,False,0.20,9,False,utilities,-0.13,0.15,-0.06,0.00,2.31,0.16,False,1,buy
SLV,2,8,8,8,7,9,8.00,False,0.15,6,False,silver,-0.43,0.76,-0.16,-0.16,4.72,0.06,False,1,buy
UFO,3,8,7,10,6,8,7.90,False,0.18,7,False,space,-0.36,0.57,-0.14,-0.01,4.18,0.07,False,1,buy
BOTZ,4,9,8,9,7,4,7.75,False,0.43,22,False,ai/robot,-0.16,0.19,-0.11,-0.04,1.63,0.09,False,1,buy
REMX,5,7,9,9,7,6,7.65,False,0.08,2,False,rare-earth,-0.37,0.59,-0.17,-0.06,3.37,0.06,False,1,buy
ITA,6,8,8,8,7,6,7.55,False,0.31,16,False,defense-us,-0.15,0.18,-0.09,0.00,1.99,0.11,False,1,buy
XAR,7,8,8,7,8,6,7.50,False,0.24,12,False,defense-us,-0.19,0.24,-0.12,0.00,2.05,0.09,False,2,alt
PAVE,8,7,8,8,9,5,7.40,False,0.57,24,False,grid/infra,-0.12,0.13,-0.08,-0.00,1.57,0.12,False,1,buy
IGF,9,7,8,8,8,5,7.25,False,0.36,20,False,grid/infra,-0.08,0.08,-0.04,-0.00,2.06,0.25,False,2,alt
PPA,10,8,8,7,6,6,7.20,False,0.32,17,False,defense-us,-0.14,0.16,-0.09,-0.00,1.83,0.11,False,3,alt
URA,11,8,9,6,7,5,7.20,False,0.19,8,False,nuclear,-0.33,0.48,-0.19,-0.10,2.55,0.05,False,1,watch
SHLD,12,8,8,7,7,5,7.20,False,0.21,10,False,defense-us,-0.19,0.24,-0.10,-0.07,2.34,0.10,False,4,alt
AIPO,13,9,8,9,6,8,7.20,False,0.77,29,True,ai/robot,-0.18,0.22,-0.18,-0.08,1.24,0.06,True,2,watch
URNM,14,8,9,6,6,5,7.05,False,0.08,4,False,nuclear,-0.40,0.67,-0.19,-0.06,3.47,0.05,False,2,watch
NLR,15,8,9,6,6,5,7.05,False,0.09,5,False,nuclear,-0.34,0.53,-0.18,-0.05,3.00,0.06,False,3,watch
BAI,16,9,8,9,6,7,7.05,False,0.90,31,True,ai/robot,-0.17,0.20,-0.23,-0.17,0.88,0.04,True,3,watch
ARKX,17,8,6,9,5,6,7.05,False,0.58,26,False,space,-0.15,0.17,-0.12,-0.08,1.43,0.08,False,2,alt
GRID,18,7,9,8,8,7,6.75,False,0.77,28,True,grid/infra,-0.10,0.12,-0.11,-0.06,1.02,0.09,True,3,watch
ITB,19,6,9,7,7,4,6.65,False,0.27,14,False,housing,-0.22,0.28,-0.12,-0.02,2.33,0.08,False,1,watch
ARKQ,20,9,8,9,5,5,6.60,False,0.58,25,False,ai/robot,-0.15,0.18,-0.14,-0.10,1.30,0.07,True,4,watch
ROBO,21,9,8,9,5,5,6.60,False,0.74,27,False,ai/robot,-0.13,0.15,-0.12,-0.03,1.26,0.08,True,5,watch
XHB,22,6,9,7,6,4,6.50,False,0.28,15,False,housing,-0.20,0.25,-0.11,-0.02,2.34,0.09,False,2,watch
INDA,23,6,7,6,8,4,6.20,False,0.33,18,False,india,-0.13,0.15,-0.05,-0.05,2.85,0.19,False,1,watch
XLY,24,6,6,7,7,4,6.05,False,0.49,23,False,discretionary,-0.10,0.12,-0.09,-0.05,1.35,0.12,False,1,watch
KWEB,25,5,5,9,6,5,5.95,False,0.08,3,False,china,-0.39,0.63,-0.11,-0.05,5.67,0.09,False,1,watch
ICLN,26,4,7,6,6,6,5.60,False,0.26,13,False,clean,-0.26,0.35,-0.13,-0.04,2.70,0.08,False,1,watch
QTUM,27,9,4,4,6,8,5.40,False,0.89,30,True,ai/robot,-0.12,0.14,-0.15,-0.11,0.94,0.07,True,6,watch
QCLN,28,4,6,6,5,6,5.25,False,0.33,19,False,clean,-0.30,0.43,-0.18,-0.03,2.38,0.06,False,2,watch
LIT,29,5,7,4,5,5,5.20,False,0.38,21,False,lithium,-0.23,0.29,-0.12,-0.05,2.50,0.09,False,1,watch
PBW,30,4,6,6,4,4,4.80,False,0.21,11,False,clean,-0.34,0.53,-0.18,-0.03,2.99,0.06,False,3,watch
TAN,31,3,5,3,5,5,4.00,True,0.06,1,False,solar,-0.38,0.62,-0.15,-0.02,4.00,0.06,False,0,avoid
