,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score,price_score,theme_score,is_candidate
TAN,solar,2026-09-21,751.0000,46.7100,-0.3682,0.0546,-1.0191,-0.1516,-0.0669,-0.2773,-0.3517,-0.0927,-0.0277,0.3613,35777532.9544,0.5827,-0.1564,-0.0447,3.7249,0.0639,True,False,0.0491,5,0.0491,True
KWEB,china,2026-09-21,751.0000,25.1800,-0.3779,0.0246,-1.5037,-0.1489,-0.0528,-0.0365,-0.3067,-0.5472,-0.0334,0.2513,318252240.1862,0.6074,-0.1088,-0.0616,5.5818,0.0919,True,False,0.0637,4,0.0637,True
REMX,rare-earth,2026-09-21,751.0000,70.2700,-0.3584,0.0984,-0.8884,-0.1841,-0.0455,-0.3194,-0.3103,-0.0162,-0.0712,0.4035,39767469.3060,0.5587,-0.1747,-0.0808,3.1978,0.0572,True,False,0.0770,5,0.0770,True
URNM,nuclear,2026-09-21,751.0000,52.0000,-0.3809,0.0929,-0.8477,-0.1433,-0.0237,-0.1161,-0.3041,-0.2278,-0.0888,0.4493,43683550.9852,0.6152,-0.1945,-0.0937,3.1622,0.0514,True,False,0.1265,4,0.1265,True
NLR,nuclear,2026-09-21,751.0000,110.7300,-0.3263,0.0246,-0.7984,-0.1494,-0.0281,-0.1526,-0.3324,-0.3131,-0.0769,0.4088,43430010.6797,0.4844,-0.1770,-0.0725,2.7369,0.0565,True,False,0.1327,5,0.1265,True
URA,nuclear,2026-09-21,751.0000,42.9800,-0.3046,0.0505,-0.6894,-0.1096,-0.0039,-0.1233,-0.2732,-0.1989,-0.0669,0.4419,161719660.8665,0.4381,-0.1914,-0.1270,2.2896,0.0523,True,False,0.2101,4,0.1265,True
SLV,silver,2026-09-21,751.0000,59.6300,-0.4353,0.0738,-1.1671,-0.0943,0.0475,-0.0295,-0.2294,0.3858,-0.0032,0.3730,965332853.1730,0.7709,-0.1615,-0.1550,4.7733,0.0619,True,False,0.1486,6,0.1486,True
XLU,utilities,2026-09-21,751.0000,40.6600,-0.1303,0.0014,-0.9005,-0.0736,-0.0634,-0.1258,-0.2690,-0.1863,-0.0492,0.1447,891950870.9871,0.1499,-0.0627,0.0000,2.3913,0.1595,True,False,0.1764,6,0.1764,True
UFO,space,2026-09-21,751.0000,44.1700,-0.3478,0.0369,-1.1058,-0.0608,-0.0150,-0.1339,-0.2237,0.1029,0.0108,0.3145,8328358.0437,0.5332,-0.1362,-0.0321,3.9152,0.0734,True,True,0.2123,9,0.2123,True
ARKX,space,2026-09-21,751.0000,32.9000,-0.1282,0.1448,-0.4468,0.0190,0.0212,-0.0555,-0.1075,0.0186,0.0211,0.2870,13043864.1831,0.1471,-0.1243,-0.1027,1.1836,0.0805,True,True,0.7256,7,0.2123,True
