,wtd_rank,cause,necessity,catalyst,basket,price,wtd,veto,dip_score,dip_rank,stabilizing,theme,dd_52w,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,thin,theme_rank,bucket
XAR,1,8,8,6,8,7,7.45,False,0.27,11,False,defense-us,-0.18,0.22,-0.12,-0.02,1.87,0.09,False,1,watch
XLU,2,9,9,3,9,6,7.35,False,0.18,7,False,utilities,-0.13,0.15,-0.06,0.00,2.39,0.16,False,1,watch
ITA,3,8,8,6,7,7,7.30,False,0.32,16,False,defense-us,-0.15,0.17,-0.09,-0.01,1.84,0.11,False,2,watch
PPA,4,8,8,6,7,7,7.30,False,0.33,17,False,defense-us,-0.13,0.15,-0.09,-0.01,1.67,0.11,False,3,watch
NLR,5,7,9,8,7,5,7.30,False,0.13,5,False,nuclear,-0.33,0.48,-0.18,-0.07,2.74,0.06,False,1,buy
UFO,6,7,7,6,7,9,7.10,False,0.21,9,True,space,-0.35,0.53,-0.14,-0.03,3.92,0.07,False,1,buy
IGF,7,8,9,3,8,7,7.05,False,0.37,19,False,grid/infra,-0.07,0.08,-0.04,-0.01,2.05,0.26,False,1,watch
SLV,8,9,8,2,9,6,6.95,False,0.15,6,False,silver,-0.44,0.77,-0.16,-0.15,4.77,0.06,False,1,watch
ICLN,9,8,7,4,7,8,6.85,False,0.29,14,True,clean,-0.25,0.33,-0.13,-0.05,2.54,0.08,False,1,buy
URNM,10,7,9,8,4,4,6.70,False,0.13,4,False,nuclear,-0.38,0.62,-0.19,-0.09,3.16,0.05,False,2,alt
URA,11,7,9,8,4,4,6.70,False,0.21,8,False,nuclear,-0.30,0.44,-0.19,-0.13,2.29,0.05,False,3,alt
PAVE,12,8,9,3,7,5,6.60,False,0.59,23,False,grid/infra,-0.11,0.13,-0.08,-0.01,1.62,0.13,False,2,watch
GLD,13,8,7,2,9,6,6.45,False,0.28,12,False,gold,-0.20,0.24,-0.10,-0.08,2.37,0.10,False,1,watch
REMX,14,5,9,8,5,5,6.40,False,0.08,3,False,rare-earth,-0.36,0.56,-0.17,-0.08,3.20,0.06,False,1,watch
TAN,15,8,7,4,7,5,6.40,False,0.05,1,False,solar,-0.37,0.58,-0.16,-0.04,3.72,0.06,False,1,watch
QCLN,16,8,7,4,5,7,6.40,False,0.44,21,False,clean,-0.29,0.40,-0.18,-0.05,2.18,0.05,False,2,watch
PBW,17,8,7,4,5,4,5.95,False,0.27,10,False,clean,-0.33,0.50,-0.18,-0.04,2.81,0.06,False,3,watch
ARKX,18,7,7,6,6,7,5.65,False,0.73,24,True,space,-0.13,0.15,-0.12,-0.10,1.18,0.08,True,2,watch
INDA,19,6,5,5,7,3,5.30,False,0.35,18,False,india,-0.12,0.14,-0.05,-0.06,2.60,0.19,False,1,watch
VNM,20,6,4,8,5,2,5.25,False,0.50,22,False,vietnam,-0.12,0.14,-0.10,-0.06,1.36,0.10,False,1,watch
XHB,21,3,7,2,7,3,4.20,True,0.30,15,False,housing,-0.19,0.24,-0.11,-0.03,2.22,0.09,False,0,avoid
KWEB,22,4,3,3,7,4,4.05,False,0.06,2,False,china,-0.38,0.61,-0.11,-0.06,5.58,0.09,False,1,watch
LIT,23,4,6,2,3,5,4.00,False,0.40,20,False,lithium,-0.22,0.29,-0.12,-0.06,2.45,0.09,False,1,watch
ITB,24,3,7,2,6,2,3.90,True,0.29,13,False,housing,-0.21,0.27,-0.12,-0.03,2.24,0.08,False,0,avoid
